ts	phase	decision	why	evidence	result
2026-09-05T07:55:05.631175+00:00	planning	Keep local requests separate from durable turns	Exact server id supports reconciliation without changing backend authority or order	convex/chatV2.ts:340;src/lib/chat/uiMessages.svelte.ts:147	Spec ready and implementation dispatched
2026-09-05T08:04:13.735079+00:00	implementation	Capture one local request before awaiting the shared mutation	Preserve composer edits and exact retry args without changing backend API	src/lib/components/chat/AgentChatPanel.svelte:614	Implemented request key, argument snapshot, synchronous composer consumption
2026-09-05T08:04:13.735619+00:00	implementation	Separate persisted-id reconciliation from durable merged messages	Local rows must never supply synthetic orders to timing, Stop, feedback or regeneration	src/lib/chat/uiMessages.svelte.ts:180	Exact thread/message/user identity is required for acknowledgement
2026-09-05T08:04:13.735628+00:00	implementation	Keep unsaved conversation scopes reachable in the existing menu	A failed new conversation must remain recoverable after selecting another new chat	src/lib/components/chat/AgentChatPanel.svelte:1363	Added local unsent conversation entries; completion selects origin only if still visible
2026-09-05T08:04:13.735632+00:00	verification	Update two historical prompt-count assertions to include the optimistic resend	The deliberate additional user bubble is the only changed existing assertion	src/lib/components/chat/RegenerateTurn.component.test.ts:47;.audit/story-7/component-initial.txt	Existing durable safeguards retained; final complete suite passes
2026-09-05T08:04:13.735635+00:00	verification	Inspect real-panel before/after and keyboard Retry screenshots	Verify the visible bubble, consumed draft, excerpt, inline error and keyboard focus	.audit/story-7/optimistic-before.png;.audit/story-7/optimistic-after.png;.audit/story-7/retry-text-and-highlight.png	Baseline lacks bubble; final bubble and inline focus ring are visible
2026-09-05T08:04:13.735638+00:00	verification	Restore only the incidental historical screenshot from HEAD	Full component suite regenerates story-6 screenshots; historical audit changes are outside scope	.audit/story-6/regenerate-after.png	Restored exact HEAD image; native ledger not edited
2026-09-05T08:16:06.386528+00:00	review-patch	Block sibling sends in an unresolved unsaved conversation; allow retry or dismissal	Preserve one logical new-conversation intent without splitting failed siblings	src/lib/components/chat/AgentChatPanel.svelte:277	Handler and composer/starter guards agree; existing-thread repeated failures remain allowed
2026-09-05T08:16:06.386703+00:00	review-patch	Scroll originating local insertion after Svelte tick	An unresolved send must be visible even when the writer was scrolled up	src/lib/components/chat/AgentChatPanel.svelte:309;.audit/story-7/optimistic-scrolled-after.png	Bounded real transcript test proves immediate visible local row
2026-09-05T08:16:06.386707+00:00	review-patch	Interleave local presentation rows using captured durable anchors	Failed earlier requests must remain before later durable turns without synthetic orders	src/lib/components/chat/AgentChatPanel.svelte:286	Failed A remains before durable B and answer; timing only reads durable rows
2026-09-05T08:16:06.386710+00:00	review-patch	Restore selected-request dismissal for local and displaced errors	Writers need a mutation-free abandon path that preserves other failures and drafts	src/lib/components/chat/AgentChatPanel.svelte:305	Local and displaced dismissal regressions pass
2026-09-05T08:16:06.386712+00:00	review-patch	Bound unsent previews and add stable conversation ordinal	Long or identical prompt/highlight labels must remain distinguishable and fit the menu	src/lib/components/chat/AgentChatPanel.svelte:300	Whitespace collapsed, 72-character preview, truncation and unique accessible label tested
2026-09-05T08:16:06.386714+00:00	review-patch	Keep Retry mounted through retry and repeated failure	Keyboard focus must remain useful without stealing focus after movement or navigation	src/lib/components/chat/AgentChatPanel.svelte:1124	Enter keeps focus during send/failure; successful still-focused retry hands focus to composer
2026-09-05T08:16:06.386716+00:00	review-patch	Redirect touched regeneration test screenshots to ignored transient paths	Canonical reruns must not rewrite historical story audit evidence	src/lib/components/chat/RegenerateTurn.component.test.ts:42	Both incidental historical images restored from HEAD and checked after final run
2026-09-05T08:16:06.386718+00:00	review-limit	Document temporary duplicate presentation before mutation identity arrives	Publication alone cannot identify a pending logical request without text guessing or a backend API change	src/lib/components/chat/OptimisticSend.component.test.ts:87	Residual publication-first presentation limit recorded; no exactly-once claim
2026-09-05T08:19:41.938045+00:00	final-review	Accept eight patches after independent verification	Every matrix behavior is covered; all canonical gates pass	.audit/story-7/final-component-parent.txt;.audit/story-7/final-unit-parent.txt;.audit/story-7/final-check-parent.txt;.audit/story-7/review-triage.md	421 browser and 1911 nonbrowser tests pass; follow-up score 18
2026-09-05T08:28:14.722252+00:00	followup-review	Route completed story to fresh four-layer review	Invocation names existing done story	_bmad-output/specs/spec-ai-engine-sprint-2-learn-chat/stories/7-optimistic-user-bubble-on-send.md	Four independent layers completed
2026-09-05T08:28:14.722669+00:00	followup-review	Reproduce keyboard and overflow regressions before patching	Confirm review claims against real panel	.audit/story-7/followup-regressions-before.txt	3 failed and 25 passed on invocation product code
2026-09-05T08:28:14.722674+00:00	followup-review	Keep composer mounted and restore dismissal focus; wrap local text and describe actions	Preserve uninterrupted keyboard use and narrow transcript access	.audit/story-7/followup-regressions-after.txt	28 component cases passed
2026-09-05T08:28:14.722676+00:00	followup-review	Preserve native ledger bytes throughout follow-up	User reserves all existing entries for orchestrator	.audit/story-7/ledger-baseline.sha256	No ledger mutation or staging
2026-09-05T08:31:10.267574+00:00	followup-audit	Retain reviewer outputs and exact ledger comparison; supersede evidence pointers in preceding review rows	Cross-model trail audit requested durable evidence	.audit/story-7/followup-reviewers.md; .audit/story-7/followup-review.diff.gz; .audit/story-7/followup-ledger.txt	Four outputs retained; ledger comparison passes with no working or staged delta
2026-09-05T08:31:10.267747+00:00	followup-audit	Archive failed regression output losslessly	Raw failure DOM diff contains terminal formatting and surplus whitespace	.audit/story-7/followup-regressions-before.txt.gz	Supersedes uncompressed before-log pointer in prior row
2026-09-05T08:36:15.542455+00:00	review	Run fresh four-layer review of completed story	Explicit build-auto dispatch routes done to review	.audit/story-7/second-review.diff.gz	No ledger writes; baseline gates passed
2026-09-05T08:38:32.843539+00:00	patch	Contain handoff and displaced failure text; normalize blank errors; style disabled Retry	Four local review findings with no backend or intent change	.audit/story-7/second-regressions-before.txt.gz	Four failures reproduced; all 32 optimistic cases now pass
2026-09-05T08:40:35.639569+00:00	prove	Accept focused presentation patches after full gates	Real component failures now pass and ledger checksum matches	6db7560ac132cb7f10ef71dbb1fd6b3f851bcd79	428 component tests; 1911 unit tests; zero check errors or warnings
