unit	finding	severity	category	basis
Q3	blind-1	medium	patch	Q3/review-triage.md finding 1; supplements omitted explicit severity/category fields, with no changed disposition. Q5 finding 1 final combined gate remains pending until shipping.
Q3	blind-2	medium	patch	Q3/review-triage.md finding 2; supplements omitted explicit severity/category fields, with no changed disposition. Q5 finding 1 final combined gate remains pending until shipping.
Q3	blind-3	low	patch	Q3/review-triage.md finding 3; supplements omitted explicit severity/category fields, with no changed disposition. Q5 finding 1 final combined gate remains pending until shipping.
Q3	blind-4	medium	patch	Q3/review-triage.md finding 4; supplements omitted explicit severity/category fields, with no changed disposition. Q5 finding 1 final combined gate remains pending until shipping.
Q3	blind-5	medium	patch	Q3/review-triage.md finding 5; supplements omitted explicit severity/category fields, with no changed disposition. Q5 finding 1 final combined gate remains pending until shipping.
Q3	blind-6	medium	patch	Q3/review-triage.md finding 6; supplements omitted explicit severity/category fields, with no changed disposition. Q5 finding 1 final combined gate remains pending until shipping.
Q3	blind-7	medium	patch	Q3/review-triage.md finding 7; supplements omitted explicit severity/category fields, with no changed disposition. Q5 finding 1 final combined gate remains pending until shipping.
Q3	blind-8	medium	patch	Q3/review-triage.md finding 8; supplements omitted explicit severity/category fields, with no changed disposition. Q5 finding 1 final combined gate remains pending until shipping.
Q3	blind-9	low	reject	Q3/review-triage.md finding 9; supplements omitted explicit severity/category fields, with no changed disposition. Q5 finding 1 final combined gate remains pending until shipping.
Q3	blind-10	low	reject	Q3/review-triage.md finding 10; supplements omitted explicit severity/category fields, with no changed disposition. Q5 finding 1 final combined gate remains pending until shipping.
Q3	blind-11	medium	patch	Q3/review-triage.md finding 11; supplements omitted explicit severity/category fields, with no changed disposition. Q5 finding 1 final combined gate remains pending until shipping.
Q3	blind-12	medium	patch	Q3/review-triage.md finding 12; supplements omitted explicit severity/category fields, with no changed disposition. Q5 finding 1 final combined gate remains pending until shipping.
Q4	blind-1	medium	patch	Q4/review-triage.md finding 1; supplements omitted explicit severity/category fields, with no changed disposition. Q5 finding 1 final combined gate remains pending until shipping.
Q4	blind-2	medium	patch	Q4/review-triage.md finding 2; supplements omitted explicit severity/category fields, with no changed disposition. Q5 finding 1 final combined gate remains pending until shipping.
Q4	blind-3	low	reject	Q4/review-triage.md finding 3; supplements omitted explicit severity/category fields, with no changed disposition. Q5 finding 1 final combined gate remains pending until shipping.
Q4	blind-4	medium	reject	Q4/review-triage.md finding 4; supplements omitted explicit severity/category fields, with no changed disposition. Q5 finding 1 final combined gate remains pending until shipping.
Q4	blind-5	medium	patch	Q4/review-triage.md finding 5; supplements omitted explicit severity/category fields, with no changed disposition. Q5 finding 1 final combined gate remains pending until shipping.
Q4	blind-6	medium	patch	Q4/review-triage.md finding 6; supplements omitted explicit severity/category fields, with no changed disposition. Q5 finding 1 final combined gate remains pending until shipping.
