branch	sha	source_occurrence	old_id	new_id	fingerprint	origin	source_spec	status
main	14d3d1795d9f861257ac122f7183449b248a369a	1	DW-1	DW-1	203ce2bacb58f7500d5026e855421d02bae1e201c9ec3b9949bf659136a2f812	spec-deferred 542cee466154	`9-bounded-chat-context-windowed-proposals-empty-reads-on-missing-threads.md`	open
main	14d3d1795d9f861257ac122f7183449b248a369a	2	DW-2	DW-2	3bffff1d97e5b9368a26c742ca1fce831b7691be7176b120da04b46a198c6506	review-budget-followup	`9-bounded-chat-context-windowed-proposals-empty-reads-on-missing-threads.md`	open
main	14d3d1795d9f861257ac122f7183449b248a369a	3	DW-3	DW-3	42f6f5094e4327b27af52508426e748371f298b0cc6bbfab69f23c7a3b186785	spec-deferred 96dbf2f50b46	`10-generations-record-prompt-version-hash-and-learning-digest-ids.md`	open
main	14d3d1795d9f861257ac122f7183449b248a369a	4	DW-4	DW-4	b703bd07be174de1cd7d2f9348edcc48bb1e772ba98c714f6c906aca2aff08c5	spec-deferred 441c1cd5bc10	`10-generations-record-prompt-version-hash-and-learning-digest-ids.md`	open
main	14d3d1795d9f861257ac122f7183449b248a369a	5	DW-5	DW-5	e682b1c5bac20f4fd9c8a9f526af6c14614bc507a437d0901c1b2857b30f6ab8	spec-deferred f3ddbb267ea5	`10-generations-record-prompt-version-hash-and-learning-digest-ids.md`	open
main	14d3d1795d9f861257ac122f7183449b248a369a	6	DW-6	DW-6	e74d3de377f27652064c27bb49f374a9c258438383a8f583b85047d59eacb12f	spec-deferred 7403dbc2733c	`10-generations-record-prompt-version-hash-and-learning-digest-ids.md`	open
main	14d3d1795d9f861257ac122f7183449b248a369a	7	DW-7	DW-7	27d645dc5629a64504a6e451fd769bd5e7715deda59ec852f4c6cf3858bde360	spec-deferred 2b000c09e95e	`10-generations-record-prompt-version-hash-and-learning-digest-ids.md`	open
main	14d3d1795d9f861257ac122f7183449b248a369a	8	DW-8	DW-8	a7e99630fc03e238fe97bceb433a6bf312cbbe53b5edd0949875319658ae4975	spec-deferred 50914cf5f212	`10-generations-record-prompt-version-hash-and-learning-digest-ids.md`	open
main	14d3d1795d9f861257ac122f7183449b248a369a	9	DW-9	DW-9	3a7bb42574adf713adda9008d5992a187fe07e97bb90e38ccd751ec58e9f9592	spec-deferred f97517052e1a	`10-generations-record-prompt-version-hash-and-learning-digest-ids.md`	open
main	14d3d1795d9f861257ac122f7183449b248a369a	10	DW-10	DW-10	eccd0dc74cc58b56895cf807b9b8635cf7846a4a89ef5f0bc4f10b249353fe3e	spec-deferred 482a6ce62b45	`10-generations-record-prompt-version-hash-and-learning-digest-ids.md`	open
main	14d3d1795d9f861257ac122f7183449b248a369a	11	DW-11	DW-11	cc942113991a9f619ea4061301c0a52e6b27b7d313b08de6e82a4a532797e34c	review-budget-followup	`10-generations-record-prompt-version-hash-and-learning-digest-ids.md`	open
main	14d3d1795d9f861257ac122f7183449b248a369a	12	DW-12	DW-12	fc7a2c188347b1fb9526723d16b517e100759e88b02c4527b6a0d4f3a64d41de	spec-deferred 30e515bd62ef	`11-getgeneration-exposes-attributable-cost-with-legacy-null-semantics.md`	open
main	14d3d1795d9f861257ac122f7183449b248a369a	13	DW-13	DW-13	b7fffdffe80365a298cf26e332ae9d4edf7e4b8a5c25751362a21b080c9ba716	spec-deferred 17d0f20a8246	`11-getgeneration-exposes-attributable-cost-with-legacy-null-semantics.md`	open
main	14d3d1795d9f861257ac122f7183449b248a369a	14	DW-14	DW-14	6e82eda9b87e0c072d851a188fac7061b76b70327a05e26ca8617d241b7f1314	spec-deferred 8dea7e53e38b	`11-getgeneration-exposes-attributable-cost-with-legacy-null-semantics.md`	open
main	14d3d1795d9f861257ac122f7183449b248a369a	15	DW-15	DW-15	40c89de892797d3c4a2ae2248b67ed5c2805b745e37de5a1836312602d580ca1	spec-deferred 064dc3cf843b	`12-confirmed-unlearn-with-failure-evidence-and-retry-free-embeds.md`	open
main	14d3d1795d9f861257ac122f7183449b248a369a	16	DW-16	DW-16	be1e227b94eb53e7e83fcc4ed6bb62397499b748c0f92337072639e27a5037d9	spec-deferred 87fa6e71d1bb	`12-confirmed-unlearn-with-failure-evidence-and-retry-free-embeds.md`	open
main	14d3d1795d9f861257ac122f7183449b248a369a	17	DW-17	DW-17	dddd6655d7d667cbcb4fef03e04670856f96d088c97056b45ab14e6ee9d40d34	spec-deferred b1ee08c62c36	`12-confirmed-unlearn-with-failure-evidence-and-retry-free-embeds.md`	open
main	14d3d1795d9f861257ac122f7183449b248a369a	18	DW-18	DW-18	0a9812395c4a57c93f9bb32da93793f421b6ee6e330c2f70547d73a242aff0d6	spec-deferred 6e7fe476c928	`12-confirmed-unlearn-with-failure-evidence-and-retry-free-embeds.md`	open
main	14d3d1795d9f861257ac122f7183449b248a369a	19	DW-19	DW-19	16a8f0d9d8e9d748ee72f6ff24d62f6697209a644df69112f60845596d3a5c1e	spec-deferred e0dbef9e0f88	`12-confirmed-unlearn-with-failure-evidence-and-retry-free-embeds.md`	open
