ts	phase	decision	why	evidence	result
2026-09-05T16:29:11.048197+00:00	port	Port four reviewed infrastructure files byte-for-byte	Preserve independently verified implementation	upstream-hashes.json	match
2026-09-05T16:29:11.048378+00:00	reproduce	Run unmodified discovery before adaptation	Prove three retained QA sources are the baseline failure	discovery-baseline.log	exit 1; exactly three archive paths
2026-09-05T16:29:11.048382+00:00	adapt	Account for only the three explicit archive paths	Keep every other tracked test subject to canonical discovery	discovery-orphan.log	real orphan rejected
2026-09-05T16:29:11.048384+00:00	docs	Update only verification guidance and stale README	Reflect executable gate while preserving native policy	immutable-source.json	unchanged outside authorized scope
2026-09-05T16:29:11.048387+00:00	controls	Run actual script with bounded PATH and empty browser cache	Verify fail-fast prerequisite and exact exit behavior	controls-summary.log	all expected exits passed
2026-09-05T16:31:01.640426+00:00	prove	Complete the actual optional-browser gate	Prove combined source with retained suites	unified-gate.log	exit 0; all nine steps passed
2026-09-05T16:31:41.805701+00:00	cleanup	Restore eight historical PNGs rewritten by component tests	Preserve immutable evidence after proving current source	component-screenshot-restoration.json	baseline bytes restored; immutable check exit 0
2026-09-05T16:45:00.740574+00:00	review-reproduce	Retain actual browser cache misclassification and quoted-filename failure	Address reviewed mechanics using before evidence	before-review-controls-summary.log	both findings reproduced before source changes
2026-09-05T16:45:00.741169+00:00	review-patch	Use supported bounded Chromium launch and raw NUL-delimited Git filenames	Check actual browser readiness and preserve path bytes	after-review-controls-summary.log	regular-only rejected; shell-only accepted; discovered quoted path passes
2026-09-05T16:45:00.741173+00:00	review-controls	Add early Git diagnostic while preserving existing controls	Make new prerequisite actionable without private runner APIs	after-review-original-controls-summary.log	all expected failures and success restorations passed
2026-09-05T16:45:00.741176+00:00	review-audit	Check Git object type/mode and exact authorized new-file inventory	Close evidence gaps without product or config changes	after-review-immutable-restored.log	mode/type/new-file negative controls failed then restored pass
2026-09-05T16:49:02.707558+00:00	cache-proof	Hash shared cache installations around repeated isolated cache controls	Bound the no-change claim to measured files and run	cache-identity-result.json	363 files/symlinks unchanged; real index hash unchanged
2026-09-05T16:50:48.659718+00:00	final-prove	Complete both updated full gate modes	Prove optional headless mode and genuinely empty-cache default behavior	after-review-evidence.md	both exit 0; retained counts unchanged; nine screenshot outputs restored
