ts	phase	decision	why	evidence	result
2026-09-14T22:38:00Z	intake	Baseline is b9a842e; reproduce before fixing	Factory "prove" rule: bug fixes show the failure at baseline first	.audit/DW-135/before-vitest-backend.log	12 failed / 88 passed; edits.min(1) refusal and ok:false on zero-edit save recorded
2026-09-14T22:40:00Z	design	Zero-edit proposal is saved in the terminal `applied` state, like `references` proposals	Existing domain precedent: a proposal with no state machine ("nothing for a human to apply") is stored `applied` at creation (convex/chatV2.ts saveProposal, kind references); no new status invented	convex/chatV2.ts:1049 (baseline)	rejectProposal and updateProposalWording already refuse non-pending rows, so the record is immutable
2026-09-14T22:40:00Z	design	applyProposal refuses a zero-edit revision explicitly ("nothing to apply") before the state check	Mirrors the existing `references` guard; returning alreadyApplied:true would misreport a record as an applied edit	convex/chatV2.ts:460 (baseline references guard)	No report prose path; test asserts revisionNumber 0 and no snapshot
2026-09-14T22:40:00Z	design	Zero-edit rule lives once in convex/lib/completionReport.ts (zeroEditIssue) and is checked by both the zod schema and saveProposal	The tool input (findings) and the persisted rows (items) both carry `status`; one helper keeps the tool and the mutation from drifting	convex/lib/completionReport.ts zeroEditIssue	Resolved finding without an edit and empty report both still refused
2026-09-14T22:40:00Z	design	New public query chatV2.listProposalItems, bounded to MAX_COMPLETION_REPORT_FINDINGS, subscribed only by zero-edit cards	No UI read of chatProposalItems existed; joining items into listProposals for every bulk proposal would multiply reads for cards that do not show them	convex/chatV2.ts listProposalItems	Card skips the subscription for proposals that carry edits
2026-09-14T22:40:00Z	design	Zero-edit card offers no action at all (no Apply, Reject, Edit wording, Refine)	Owner instruction: no apply action; Refine would seed the composer with an empty replacement quote	src/lib/components/chat/NothingToApplyCard.svelte	Component test asserts zero action buttons and zero mutation calls
2026-09-14T22:40:00Z	design	Amendment recorded in docs/product-domain.md under Approved amendments (AD-28 itself lives in the architecture spine)	Task names product-domain.md; AGENTS.md policy requires the amendment there before code relies on it	docs/product-domain.md "2026-09-14 — Zero-edit Coordinated Revision"	Spine left untouched; noted as a limitation
2026-09-14T22:46:00Z	verify	Record-only proposals excluded from the turn summary suggestion count and from PRIOR EDIT DECISIONS	The card says "Nothing to apply"; a summary or model memory calling it a suggestion or an applied edit would contradict it	src/lib/chat/turnParts.ts outcomeSuffix; convex/chatV2.ts getChatContextV2	turnParts.test.ts 64/64; chatProposalItems.test.ts passes
2026-09-14T22:47:00Z	verify	Final gates rerun on the finished tree	Earlier after-logs predate the turnParts change	.audit/DW-135/after-*.log	tsc 0 errors; vitest 2716/2716; svelte-check 0/0; component 645/645
2026-09-14T23:00:00Z	review-fix	Apply all ten Fable 5.1 review findings in one commit	Reviewer verdict ACCEPT_WITH_FIXES; every finding is a bounded change inside the amendment	.audit/DW-135/fable-review/result.md	before 6+1 failed, after targeted 82/82 and 4/4
2026-09-14T23:00:00Z	review-fix	markProposalApplied kind guards run before the already-applied short-circuit	A record-only or highlight row is stored applied; the stepper must refuse it, not report prose applied	convex/chatV2.ts markProposalApplied	test "is refused by the one-by-one stepper" passes
2026-09-14T23:00:00Z	review-fix	Decisions window reads 24 rows, filters, keeps 6	Bounded and charged; a run of record-only rows no longer evicts the last real edit decision	convex/chatV2.ts getChatContextV2	test "does not push a real edit decision out" passes
2026-09-14T23:00:00Z	review-fix	Query-gate test asserts roleless NOT_AUTHORIZED rather than "writer on another project"	requireInternalProjectAccess grants any active internal role every project (same as listProposals); the other-project case is authorized by the existing rule	convex/lib/auth.ts:45-62	documented in evidence.md row 8
2026-09-14T23:12:00Z	verify	Component suite rerun alone after a contended-run timeout in OptimisticSend (unrelated test)	The failure was a 14.8s click timeout while the full vitest run competed for CPU; the same test passed in the two earlier full runs	.audit/DW-135/review-fix/after-component-full.contended.log	solo rerun 646/646, kept both logs
