ts	phase	decision	why	evidence	result
2026-09-03T21:21:03Z	plan	blocking first step: reproduce the inline filter dropping a ReparsePoint placeholder at baseline before any edit	prove it works: no reproduction, no fix	ticket ## Verification one-liner	tests green
2026-09-03T21:21:03Z	plan	independent workstreams: (1) uploader-lib.ps1 + harness, (2) main-script call site, (3) loop-verify.sh + DEV-HANDOFF.md doc fix	sequence work into verifiable units: lib+harness is the only unit that needs iteration, the rest are one-line wirings gated by it	scripts/client-uploader/	open
2026-09-03T21:21:03Z	plan	shared mutable state touched: none in the lib (pure functions, no top-level side effects); main script keeps $entries/$seenRel accumulation unchanged	minimize reader load: filter policy moves out, dedupe/rel-path policy stays at the call site	banhall-uploader.ps1:205-222	open
2026-09-03T21:21:03Z	plan	smallest safe decomposition: Get-UploadSkipReason (pure, per-file, string reason) under Get-UploadCandidates (walk + tally); main script iterates .Candidates only	model the domain: a skip is a named reason (link|temp|dotfile|extension), not a boolean, so uploader-2 diagnostics read counts off the same structure	uploader-lib.ps1	open
2026-09-03T21:21:03Z	bug	reproduced at baseline 470557d: inline filter returns 0 candidates for a ReparsePoint file with empty LinkType	confidence ladder 4: ran the filter expression, got 0	/tmp/repro-before.txt (prints 0)	reproduced
2026-09-03T21:28:50Z	build	Test-RealLink reads LinkType only; the ReparsePoint attribute is never consulted	fix root causes: the attribute is set on every Files On-Demand file, so it can never distinguish a link from a placeholder; LinkType can	uploader-lib.ps1:12-20	tests green
2026-09-03T21:28:50Z	build	skip reason is a string (link|temp|dotfile|extension), not a boolean, and Get-UploadCandidates returns Candidates/Skipped/Errors/Walked	model the domain: uploader-2 diagnostics read the tally off the same structure instead of re-walking	uploader-lib.ps1:22-58	tests green
2026-09-03T21:28:50Z	build	LinkType read via $file.PSObject.Properties[LinkType] instead of direct property access	boundary discipline: fakes and providers without the property must be judged not-a-link, never throw under Set-StrictMode	uploader-lib.ps1:14-16	tests green
2026-09-03T21:28:50Z	build	Get-ChildItem -LiteralPath, not -Path, inside Get-UploadCandidates	boundary discipline: a client folder named "Applications [2024]" is a literal path; -Path would treat the brackets as a wildcard and silently walk nothing	uploader-lib.ps1:41	tests green
2026-09-03T21:28:50Z	build	Candidates returned via List.ToArray() instead of @($list)	prove it works: @() around a New-Object List[object] throws "Argument types do not match" on the harness host pwsh 7.6.5	uploader-lib.ps1:50-52	tests green
2026-09-03T21:28:50Z	build	mutation check: restored the old attribute rule inside Test-RealLink and re-ran the full gate	confidence ladder 4: a harness that cannot fail proves nothing; gate exited 1 with AC1 failing	/tmp/loop-verify-mutant.log (14 passed, 4 failed)	reverted
2026-09-03T21:28:50Z	build	setup.sh zip now excludes tests/*	laziness protocol: the zip is a denylist, so uploader-lib.ps1 ships automatically and only the harness needed excluding	setup.sh:76	tests green
2026-09-03T21:28:50Z	verify	AC6 proven with an AST scan for TernaryExpressionAst/Coalesce plus a parse of all three .ps1 files, not the ticket regex	prove it works: the ticket regex \?\s*[^:]+: matches the pre-existing upload URI at banhall-uploader.ps1:289, a false positive; it is not in done_when	AST scan output, 0 ps7-only expressions	tests green
2026-09-03T21:28:50Z	verify	drove the real banhall-uploader.ps1 in all three input modes against a temp tree from a copied kit with a fake config	prove it works: ladder 5 on the modes, each printed Found 1 document(s) and skipped the symlink/temp/dotfile/.md	evidence.md ## Live surface	tests green
2026-09-03T21:32:53Z	ship	evidence.md stamped with implementation commit c19b62ae7355 in a follow-up commit	write it clean the first time: amending to self-reference a sha rewrites it again; a second commit points at a stable one	.audit/uploader-1-cloud-placeholder-filter/evidence.md:2	tests green
